brush,diameter,path,length,variant,repeat,contacts,pages,pixel_contact_tests,cpu_prepare_ms,cpu_submit_ms,gpu_ms
GPen,32,straight,512,merged,0,1,3,196608,0.048958,0.761770,0.284427
GPen,32,straight,512,contact,0,90,3,6815744,0.067135,0.456875,7.242812
GPen,32,straight,512,simple,0,90,3,6815744,0.067135,0.479323,3.648125
GPen,32,straight,512,contact,1,90,3,6815744,0.067135,0.506406,7.208229
GPen,32,straight,512,simple,1,90,3,6815744,0.067135,0.371354,3.672187
GPen,32,straight,512,merged,1,1,3,196608,0.048958,0.431771,0.291667
GPen,32,straight,512,simple,2,90,3,6815744,0.067135,0.401198,3.715208
GPen,32,straight,512,merged,2,1,3,196608,0.048958,0.378021,0.284323
GPen,32,straight,512,contact,2,90,3,6815744,0.067135,0.380833,7.225885
GPen,32,straight,512,merged,3,1,3,196608,0.048958,0.510989,0.289635
GPen,32,straight,512,contact,3,90,3,6815744,0.067135,0.386250,7.225989
GPen,32,straight,512,simple,3,90,3,6815744,0.067135,0.517239,3.714896
GPen,32,straight,512,contact,4,90,3,6815744,0.067135,0.551406,7.233177
GPen,32,straight,512,simple,4,90,3,6815744,0.067135,0.515312,3.719427
GPen,32,straight,512,merged,4,1,3,196608,0.048958,0.674427,0.284844
GPen,32,straight,512,simple,5,90,3,6815744,0.067135,0.402187,3.719948
GPen,32,straight,512,merged,5,1,3,196608,0.048958,0.422136,0.283906
GPen,32,straight,512,contact,5,90,3,6815744,0.067135,0.398854,7.208333
GPen,32,straight,512,merged,6,1,3,196608,0.048958,0.534844,0.293594
GPen,32,straight,512,contact,6,90,3,6815744,0.067135,0.532604,7.211562
GPen,32,straight,512,simple,6,90,3,6815744,0.067135,0.531980,3.713802
GPen,32,straight,512,contact,7,90,3,6815744,0.067135,0.404166,7.220729
GPen,32,straight,512,simple,7,90,3,6815744,0.067135,0.505729,3.704792
GPen,32,straight,512,merged,7,1,3,196608,0.048958,0.524739,0.294010
GPen,32,straight,512,simple,8,90,3,6815744,0.067135,0.420156,3.717812
GPen,32,straight,512,merged,8,1,3,196608,0.048958,0.416250,0.291458
GPen,32,straight,512,contact,8,90,3,6815744,0.067135,0.476823,7.232916
GPen,32,straight,512,merged,9,1,3,196608,0.048958,0.451354,0.300937
GPen,32,straight,512,contact,9,90,3,6815744,0.067135,0.416615,7.214791
